First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
CM,Punk,,"6' 1""",170 lbs.,"73.0""",Orthodox,0,1,0,0,1.1,23%,4.87,40%,0.87,11%,0%,0
Joe,Pyfer,Bodybagz,"6' 2""",185 lbs.,"75.0""",Orthodox,12,2,0,0,3.64,45%,2.34,55%,2.97,83%,50%,1.8
Mike,Pyle,Quicksand,"6' 0""",170 lbs.,"74.0""",Orthodox,27,14,1,0,2.74,45%,2.84,60%,1.8,35%,70%,1.5
Qiu,Lun,Tibetan Knight,"5' 8""",125 lbs.,"66.0""",Southpaw,16,9,0,0,3.51,46%,1.78,67%,0.67,18%,68%,0
Bao,Quach,,"5' 3""",145 lbs.,--,Orthodox,19,10,1,0,0,0%,0,0%,0,0%,0%,0
Gary,Quan,,"5' 8""",143 lbs.,--,,3,5,0,0,0,0%,0,0%,0,0%,0%,0
Billy,Quarantillo,,"5' 10""",145 lbs.,"70.0""",Orthodox,18,5,0,0,7.71,57%,5.61,43%,1.31,23%,63%,1.2
Nate,Quarry,Rock,"6' 0""",185 lbs.,"72.0""",Open Stance,12,4,0,0,4.96,44%,2.8,66%,0.25,33%,60%,0
Vinicius,Queiroz,Spartan,"6' 7""",220 lbs.,--,Orthodox,8,4,0,0,3.67,51%,4.1,41%,5.07,70%,100%,0.7
Jimmy,Quinlan,Crash,"6' 0""",185 lbs.,--,Orthodox,3,1,1,0,2.08,70%,5.94,16%,4.46,25%,0%,0
Josh,Quinlan,Bushido,"6' 0""",170 lbs.,"72.0""",Orthodox,6,1,0,0,3.68,41%,5.97,50%,0.84,12%,60%,0
Ryan,Quinn,,"5' 8""",145 lbs.,--,,13,7,1,0,2.31,41%,1.67,48%,0,0%,0%,1.9
Michel,Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3,0,0,2.91,29%,5.98,48%,0,0%,36%,0
Landon,Quinones,The Lone Wolf,"5' 9""",155 lbs.,"70.0""",Southpaw,7,2,1,0,9.87,41%,11.4,54%,0,0%,100%,0
Jose,Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,9,5,0,0,3.6,45%,3,64%,2.7,47%,42%,0.6
Cristian,Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,18,4,0,0,5.23,42%,5.13,59%,0.73,100%,85%,0
Benji,Radach,Razor,"5' 10""",185 lbs.,--,Orthodox,21,7,0,0,2.62,49%,2.31,51%,1.06,41%,71%,0.4
Jordan,Radev,,"5' 7""",185 lbs.,--,Southpaw,23,5,0,0,1.35,23%,2.38,66%,0,0%,80%,0
Charles,Radtke,Chuck Buffalo,"5' 9""",170 lbs.,"72.0""",Orthodox,8,3,0,0,2.33,46%,2.93,53%,1,16%,100%,0
Loik,Radzhabov,The Tajik Tank,"5' 11""",155 lbs.,"69.0""",Orthodox,17,5,1,0,2.61,42%,5.31,46%,7.3,52%,50%,0
Gilbert,Rael,,"5' 8""",155 lbs.,--,,1,3,0,0,0,0%,7.46,37%,4.86,100%,0%,0
Josh,Rafferty,,"6' 0""",170 lbs.,--,Orthodox,9,8,0,0,0.6,33%,3.6,50%,0,0%,0%,9
Amir,Rahnavardi,,"6' 0""",205 lbs.,--,Orthodox,11,10,0,0,0.67,25%,0,100%,0,0%,50%,0
Ricky,Rainey,The Sniper,"6' 1""",170 lbs.,"77.0""",Switch,12,6,0,0,2.55,48%,2.62,46%,0.95,18%,55%,0
Shavkat,Rakhmonov,Nomad,"6' 1""",170 lbs.,"77.0""",Orthodox,17,0,0,0,4.45,59%,2.61,53%,1.49,33%,100%,1.5
Sora,Rakhmonova,,--,125 lbs.,--,,4,1,0,0,0,0%,0,0%,0,0%,0%,0
Aleksandar,Rakic,,"6' 4""",205 lbs.,"78.0""",Orthodox,14,3,0,0,4.01,50%,2.3,53%,0.82,25%,90%,0.2
Jessica,Rakoczy,The Ragin',"5' 7""",115 lbs.,--,Orthodox,1,5,0,0,2.5,44%,3.55,64%,0.75,20%,0%,0.8
Thomas,Ramirez,,"6' 1""",410 lbs.,--,Sideways,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Hector,Ramirez,Sick Dog,"6' 0""",205 lbs.,--,Orthodox,10,6,1,0,2.27,41%,4.6,56%,2.3,55%,66%,0.5
Matt,Ramirez,The Machine,"5' 5""",125 lbs.,--,,2,3,0,0,3.03,50%,0.67,75%,2.53,16%,100%,0
Steve,Ramirez,,"5' 7""",125 lbs.,--,,5,2,0,0,0,0%,0,0%,0,0%,0%,0
Amador,Ramirez,,--,135 lbs.,--,,5,4,0,0,4.93,51%,2.07,69%,1,33%,0%,0
Mitch,Ramirez,,"5' 11""",170 lbs.,"71.0""",Orthodox,7,1,0,0,3.69,52%,4.81,36%,2.41,100%,0%,0
Andrew,Ramm,The,"6' 1""",160 lbs.,--,,4,4,0,0,0,0%,0,0%,0,0%,0%,0
Ian,Rammel,,"6' 0""",185 lbs.,--,,7,8,0,0,0,0%,0,0%,0,0%,0%,0
Luis,Ramos,Beicao,"5' 8""",170 lbs.,--,Orthodox,20,10,2,0,2.4,35%,5.6,42%,1.5,20%,100%,0
Ricardo,Ramos,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,5,0,0,3.21,37%,3.78,57%,2.79,59%,72%,0.7
Davi,Ramos,Tasmanian Devil,"5' 6""",155 lbs.,"70.0""",Orthodox,10,4,0,0,2.64,37%,3.44,56%,1.95,40%,83%,0.6
Vernon,Ramos Ho,,"5' 6""",170 lbs.,--,Orthodox,3,1,0,0,4,25%,8,55%,0,0%,0%,0
Kevin,Randleman,The Monster,"5' 10""",205 lbs.,--,Orthodox,17,16,0,0,1.26,54%,1.12,57%,2,56%,30%,0.8
Raou,Raou,,"5' 8""",195 lbs.,--,Orthodox,0,1,0,0,2.01,16%,6.75,60%,0,0%,0%,0
Mitch,Raposo,,"5' 5""",125 lbs.,"64.0""",Switch,5,1,0,0,2.57,25%,3.18,56%,3.67,66%,0%,0
Hussain,Rasouli,,"5' 6""",135 lbs.,--,,2,3,0,0,0,0%,0,0%,0,0%,0%,0
David,Rasouri,,"5' 7""",155 lbs.,--,,2,3,0,0,0,0%,0,0%,0,0%,0%,0
Ed,Ratcliff,9mm,"5' 10""",155 lbs.,"71.0""",Orthodox,7,3,0,0,2.71,38%,2.96,63%,0.28,16%,53%,0
Bec,Rawlings,Rowdy,"5' 6""",125 lbs.,"64.0""",Orthodox,7,8,0,0,4.48,42%,5.66,57%,0.71,40%,68%,0.4
Gideon,Ray,,"5' 10""",185 lbs.,--,Southpaw,17,15,1,0,2.08,40%,2.58,53%,1.49,100%,0%,0
Joe,Ray,,--,170 lbs.,--,,13,0,0,0,0,0%,0,0%,0,0%,0%,0
Stevie,Ray,Braveheart,"5' 10""",155 lbs.,"70.0""",Southpaw,23,9,0,0,3.73,44%,2.93,54%,0.75,46%,55%,0.6
Keenan,Raymond,,--,165 lbs.,--,,3,3,0,0,0,0%,0,0%,0,0%,0%,0
Iony,Razafiarison,,"5' 3""",145 lbs.,--,,2,1,0,0,1.2,42%,1.4,53%,2,50%,75%,0
Abdul,Razak Alhassan,,"5' 10""",185 lbs.,"73.0""",Orthodox,12,6,0,0,3.37,48%,3.99,55%,0.89,38%,50%,0.2
Antony,Rea,Wild Thing,"6' 0""",205 lbs.,--,Orthodox,33,15,0,0,2.89,28%,5.42,42%,0,0%,100%,0
Mateusz,Rebecki,,"5' 7""",155 lbs.,"66.0""",Southpaw,18,1,0,0,5.31,53%,2.01,63%,4.16,72%,66%,1.6
Rafael,Rebello,Rafinha,"5' 5""",135 lbs.,"67.0""",Orthodox,9,4,0,0,2.19,32%,3.29,58%,2.82,33%,75%,0.5
Greg,Rebello,Ribz,"6' 0""",240 lbs.,"73.0""",Southpaw,24,8,0,0,2.61,39%,2.92,58%,0,0%,0%,0
Paul,Redmond,Redser,"5' 10""",145 lbs.,--,Orthodox,12,7,0,0,0.72,34%,2.99,41%,0,0%,50%,0
Dennis,Reed,,--,205 lbs.,--,Orthodox,45,62,1,0,0,0%,0,0%,0,0%,0%,0
Karl,Reed,No Worries,"6' 3""",205 lbs.,"78.0""",Orthodox,6,1,0,0,2.04,44%,3.84,38%,1.06,22%,53%,0
Elise,Reed,,"5' 3""",115 lbs.,"63.0""",Orthodox,7,4,0,0,2.66,49%,3.06,52%,0.58,60%,42%,0
John,Reedy,The Wild Child,"5' 8""",155 lbs.,--,,11,6,0,0,0,0%,0,0%,0,0%,0%,0
Johnny,Rees,The Hater Hurter,"6' 0""",170 lbs.,--,Orthodox,13,5,0,0,3.29,64%,0.84,47%,1.15,25%,50%,0
James,Reese,JP,"5' 9""",155 lbs.,--,,11,10,0,0,0,0%,0,0%,0,0%,0%,0
Zach,Reese,Savage,"6' 4""",185 lbs.,"77.0""",Switch,6,0,0,0,6.49,61%,8.92,31%,0,0%,0%,12.2
Stephen,Regman,,"5' 11""",185 lbs.,"76.0""",Orthodox,9,4,0,0,1.41,60%,4.93,23%,3.52,100%,0%,0
Chad,Reiner,The Grinder,"5' 11""",170 lbs.,--,Orthodox,33,18,0,0,0.53,20%,1.97,46%,0.99,33%,25%,2
Jason,Reinhardt,,"5' 6""",135 lbs.,--,Orthodox,20,3,0,0,0.51,40%,4.07,43%,1.91,12%,50%,0
Wilson,Reis,,"5' 4""",125 lbs.,"65.0""",Southpaw,23,10,0,0,1.83,29%,3.04,55%,5.15,42%,47%,0.6
Ben,Reiter,The Hunter,"6' 3""",185 lbs.,--,,17,2,1,0,1.8,46%,1.53,54%,7,43%,0%,0
Goran,Reljic,,"6' 3""",205 lbs.,"81.0""",Southpaw,15,8,0,0,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Leigh,Remedios,Bulldog,"5' 7""",155 lbs.,--,Orthodox,18,10,2,0,0.75,41%,1.36,68%,0,0%,33%,0
Paulo,Renato Junior,,"6' 0""",205 lbs.,"73.0""",Orthodox,12,3,0,0,4.89,45%,5.18,56%,0,0%,100%,0
Chance,Rencountre,Black Eagle,"6' 2""",170 lbs.,"75.0""",Southpaw,14,4,0,0,1.1,20%,3.62,49%,1.35,26%,16%,0.3
Montserrat,Rendon,Monster,"5' 8""",135 lbs.,"68.0""",Orthodox,6,0,0,0,4.6,37%,4,44%,3,60%,100%,0
Marion,Reneau,The Belizean Bruiser,"5' 6""",135 lbs.,"68.0""",Orthodox,9,8,1,0,3.2,41%,3.52,59%,0.62,63%,50%,0.8
Solomon,Renfro,The Black Dragon,"5' 9""",170 lbs.,"72.0""",Switch,8,2,0,0,5.2,44%,3.53,61%,2,50%,100%,0
John,Renken,The Saint,"6' 0""",190 lbs.,--,Orthodox,18,28,4,0,0,0%,0,0%,0,0%,0%,0
Herman,Renting,,"6' 0""",215 lbs.,--,Switch,1,3,0,0,0,0%,0,0%,0,0%,0%,0
Marco Polo,Reyes,,"5' 11""",155 lbs.,"71.0""",Orthodox,8,7,0,0,6,37%,5.52,59%,0,0%,46%,0
Dominick,Reyes,The Devastator,"6' 4""",205 lbs.,"77.0""",Southpaw,12,4,0,0,4.75,50%,3.77,48%,0.36,28%,80%,0.4
Alex,Reyes,The Executioner,"5' 11""",155 lbs.,"73.0""",Orthodox,13,4,0,0,4.04,39%,10.91,40%,0,0%,0%,0
Kyle,Reyes,Boom,"5' 8""",145 lbs.,--,,15,7,0,0,0,0%,0,0%,0,0%,0%,0
Victor,Reyna,Kelevra,"5' 11""",170 lbs.,"74.0""",Southpaw,11,5,0,0,5.8,63%,4.75,42%,0,0%,100%,0
Gaston,Reyno,Tonga,"6' 0""",145 lbs.,--,,6,2,0,0,7.79,62%,3.9,44%,0,0%,0%,11.7
Johnny,Rhodes,,"6' 0""",210 lbs.,--,Orthodox,2,1,0,0,0,0%,0,0%,0,0%,0%,0
Mike,Rhodes,Biggie,"6' 1""",170 lbs.,"74.0""",Orthodox,10,5,0,0,3.2,39%,4.13,64%,0.96,33%,75%,0.5
Lucrezia,Ria,,"5' 6""",125 lbs.,--,Orthodox,8,2,0,0,4.07,46%,4.4,45%,1,33%,0%,0
Amanda,Ribas,,"5' 3""",115 lbs.,"66.0""",Orthodox,11,4,0,0,4.73,42%,3.24,64%,2.27,53%,88%,0.9
Vitor,Ribeiro,Shaolin,"5' 8""",154 lbs.,--,Orthodox,20,5,0,0,1,28%,1.95,48%,1.58,26%,100%,1.2
Will,Ribeiro,,"5' 8""",135 lbs.,--,Orthodox,10,2,0,0,1.83,28%,1.64,74%,1.15,100%,50%,2.9
Claudio,Ribeiro,,"6' 1""",185 lbs.,"77.0""",Orthodox,11,4,0,0,4.65,57%,3.34,31%,0.76,50%,75%,0
Brendson,Ribeiro,The Gorilla,"6' 3""",205 lbs.,"81.0""",Orthodox,15,5,0,0,8.46,46%,5.29,64%,0,0%,0%,0
Esteban,Ribovics,El Gringo,"5' 10""",155 lbs.,"69.0""",Orthodox,12,1,0,0,6.16,52%,3.4,52%,0.95,66%,60%,0.5
Mike,Ricci,The Martian,"6' 0""",155 lbs.,"76.0""",Southpaw,11,5,0,0,1.8,32%,1.64,65%,0.67,100%,54%,0
Alex,Ricci,,"5' 11""",155 lbs.,--,Orthodox,10,5,0,0,2.48,41%,2.53,64%,0,0%,64%,0
Tabatha,Ricci,Baby Shark,"5' 1""",115 lbs.,"61.0""",Orthodox,9,2,0,0,4.41,37%,4.86,59%,3.39,41%,71%,0.2
Matt,Ricehouse,,--,155 lbs.,--,,6,1,0,0,3.7,44%,4.8,47%,1,22%,81%,0
John,Richard,,--,205 lbs.,--,,3,5,1,0,0,0%,0,0%,0,0%,0%,0
Rex,Richards,,"6' 5""",265 lbs.,--,,7,2,0,0,17.65,58%,5.29,72%,0,0%,0%,0
Mike,Richman,The Marine,"5' 8""",135 lbs.,--,,18,7,0,0,4.06,44%,3.49,43%,0,0%,76%,0
Dave,Rickels,The Caveman,"5' 11""",155 lbs.,--,,18,4,0,0,4.29,59%,5.53,42%,0,0%,25%,0
Haisam,Rida,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Brad,Riddell,Quake,"5' 7""",155 lbs.,"71.0""",Orthodox,10,4,0,0,4.71,53%,3.53,53%,1.77,36%,63%,0
Matthew,Riddle,Deep Waters,"6' 1""",170 lbs.,"76.0""",Southpaw,8,3,0,0,3.01,42%,2.74,54%,3.51,50%,89%,0.5
Joe,Riggs,Diesel,"6' 0""",185 lbs.,"70.0""",Southpaw,44,17,0,0,2.41,51%,1.69,57%,2.45,55%,62%,0.6
Jeremiah,Riggs,,"6' 0""",185 lbs.,--,,7,8,0,0,0,0%,0,0%,0,0%,0%,0
Aaron,Riley,,"5' 8""",155 lbs.,"69.0""",Southpaw,30,14,1,0,3.45,34%,3.78,61%,1.18,34%,60%,0.1
Jason,Riley,The Juggernaut,"6' 6""",245 lbs.,--,,10,7,0,0,0,0%,9.68,33%,0,0%,50%,0
Moise,Rimbon,Swamp,"5' 10""",205 lbs.,--,Orthodox,23,11,3,0,0.8,34%,1,71%,1,50%,37%,0
Jordan,Rinaldi,All Day,"5' 10""",145 lbs.,"72.0""",Orthodox,14,7,0,0,1.56,35%,2.32,59%,1.45,35%,20%,1.2
Nick,Ring,The Promise,"6' 0""",185 lbs.,"74.0""",Southpaw,14,4,0,0,3.52,42%,3.48,62%,1.36,36%,52%,0.3
Robbie,Ring,Razor,"5' 9""",145 lbs.,"68.0""",Orthodox,6,1,0,0,5.11,38%,9.15,38%,4.04,33%,0%,0
Mike,Rio,The Wolverine,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,0,1.68,39%,2.99,53%,2.58,27%,0%,1
Albert,Rios,,"5' 8""",145 lbs.,--,,13,6,0,0,0,0%,0,0%,0,0%,0%,0
Rafael,Rios,,--,150 lbs.,--,,4,2,0,0,0,0%,0,0%,0,0%,0%,0
Maria,Rios,,"5' 5""",125 lbs.,--,,2,3,0,0,2.93,34%,4.13,56%,2,50%,100%,0
Shannon,Ritch,The Cannon,"5' 9""",190 lbs.,--,Orthodox,56,83,0,0,1,100%,6,50%,0,0%,0%,0
Diego,Rivas,Pitbull,"5' 8""",145 lbs.,"69.0""",Orthodox,10,2,0,0,1.37,40%,2.14,52%,1.79,60%,64%,0.9
Jorge,Rivera,El Conquistador,"6' 1""",185 lbs.,"73.0""",Orthodox,20,9,0,0,3.16,48%,2.64,54%,0.84,50%,63%,0.1
Dante,Rivera,,"6' 1""",185 lbs.,--,Southpaw,16,7,0,0,2.27,53%,4,25%,0,0%,16%,0
Mario,Rivera,,"5' 10""",170 lbs.,--,,6,8,0,0,0,0%,8.41,20%,0,0%,0%,0
Francisco,Rivera,Cisco,"5' 8""",135 lbs.,"70.0""",Orthodox,11,7,0,0,4.07,41%,3.16,68%,1.01,63%,68%,0.6
Jonathan,Rivera,,--,155 lbs.,--,,4,2,0,0,4.36,49%,3.9,60%,0,0%,0%,0
Jimmie,Rivera,El Terror,"5' 4""",135 lbs.,"68.0""",Orthodox,23,5,0,0,4.03,40%,3.9,60%,0.88,27%,92%,0.1
Irwin,Rivera,The Beast,"5' 6""",135 lbs.,"67.0""",Southpaw,10,6,0,0,3.36,44%,5.07,57%,1,16%,70%,0
Jerome,Rivera,Renegade,"5' 10""",125 lbs.,"72.0""",Southpaw,10,6,0,0,3.21,33%,2.6,51%,0,0%,40%,0
Nicdali,Rivera-Calanoc,The Night Queen,"5' 3""",105 lbs.,--,,9,10,0,0,1.82,20%,2.42,78%,0,0%,0%,0
Pedro,Rizzo,The Rock,"6' 1""",241 lbs.,--,Orthodox,20,11,0,0,1.93,34%,3.02,50%,0.26,28%,78%,0
Theo,Rlayang,Jungle King,"5' 7""",145 lbs.,"65.0""",Orthodox,5,1,0,0,5.93,48%,8.4,40%,2,40%,0%,0
Justin,Robbins,,"5' 5""",135 lbs.,--,,14,18,1,0,0.67,37%,3.2,47%,0,0%,0%,0
Kali,Robbins,Pop Tart,"5' 3""",115 lbs.,"63.0""",Orthodox,6,3,0,0,3.73,46%,9.4,44%,2,33%,0%,0
Karl,Roberson,Baby K,"6' 1""",205 lbs.,"74.0""",Southpaw,9,6,0,0,2.57,51%,2.42,57%,0.72,40%,42%,0.5
Andre,Roberts,The Chief,"6' 2""",345 lbs.,--,Orthodox,14,2,1,0,0,0%,0,0%,0,0%,0%,0
David,Roberts,,"6' 1""",170 lbs.,--,Orthodox,5,8,0,0,0,0%,0,0%,0,0%,0%,0
Joey,Roberts,,"6' 2""",200 lbs.,--,,4,3,0,0,0,0%,0,0%,0,0%,0%,0
Tyrone,Roberts,Native Warrior,"5' 9""",185 lbs.,--,Orthodox,43,12,1,0,0,0%,0,0%,0,0%,0%,0
Ryan,Roberts,,"5' 6""",155 lbs.,--,Orthodox,21,12,1,0,0,0%,22.5,45%,0,0%,0%,0
Taylor,Roberts,,"5' 11""",170 lbs.,--,,3,12,0,0,0,0%,0,0%,0,0%,0%,0
Daniel,Roberts,Ninja,"5' 10""",170 lbs.,"74.0""",Southpaw,15,7,0,0,0.73,20%,2.27,46%,2.46,44%,40%,2.5
Buddy,Roberts,,"6' 2""",185 lbs.,--,Orthodox,12,3,0,0,2.17,34%,2.08,70%,0,0%,76%,0.7
Danny,Roberts,Hot Chocolate,"6' 1""",170 lbs.,"74.0""",Southpaw,18,8,0,0,3.18,39%,3.73,50%,0.24,9%,57%,0.2
Roosevelt,Roberts,The Predator,"6' 2""",155 lbs.,"73.0""",Orthodox,12,5,0,0,3.05,44%,3.12,52%,1.39,29%,52%,0.9
Kenny,Robertson,,"5' 10""",170 lbs.,"74.0""",Orthodox,15,5,0,0,3.72,47%,3.02,52%,1.37,26%,57%,0.8
Gillian,Robertson,The Savage,"5' 5""",115 lbs.,"63.0""",Orthodox,12,8,0,0,2.6,45%,3.21,55%,2.46,41%,43%,0.9
Chad,Robichaux,Robo,"5' 4""",135 lbs.,--,,13,2,0,0,0,0%,0,0%,0,0%,0%,0
Mark,Robinson,White Rhino,"6' 0""",265 lbs.,--,Orthodox,1,0,0,0,0,0%,5.8,13%,0,0%,0%,0
Colin,Robinson,Big C,"6' 4""",243 lbs.,--,Orthodox,10,12,0,0,6.19,69%,7.91,37%,2.58,100%,50%,5.2
Alvin,Robinson,,"5' 9""",155 lbs.,"68.0""",Southpaw,15,9,0,0,1.57,50%,1.29,51%,1.24,50%,25%,1.2
Damonte,Robinson,,"6' 0""",155 lbs.,"77.0""",,6,1,1,0,0,0%,0,0%,0,0%,0%,0
Vagner,Rocha,Ceara,"5' 10""",155 lbs.,"73.0""",Orthodox,14,4,0,0,2.64,42%,4.5,48%,1.4,33%,50%,1.9
Carlos Eduardo,Rocha,Ta Danado,"5' 10""",170 lbs.,"73.0""",Orthodox,9,4,0,0,1.24,34%,1.85,55%,0,0%,52%,1.4
Pedro,Rocha,,--,--,--,,1,0,0,0,0,0%,0,0%,0,0%,0%,0
Lucas,Rocha,Fenomeno,"5' 3""",135 lbs.,"64.0""",Orthodox,17,1,0,0,1.51,53%,4.15,33%,0,0%,66%,0
Keith,Rockel,Rock,"6' 0""",185 lbs.,--,Orthodox,12,4,1,0,1.13,73%,0.21,66%,4.63,75%,100%,4.6
Luke,Rockhold,,"6' 3""",185 lbs.,"77.0""",Southpaw,16,6,0,0,4.1,49%,2.68,53%,0.7,29%,65%,1
Kevin,Roddy,K-Rod,"5' 11""",145 lbs.,--,,15,16,1,0,2.64,30%,2.38,60%,0,0%,50%,0
Gregory,Rodrigues,Robocop,"6' 3""",185 lbs.,"75.0""",Orthodox,14,5,0,0,5.99,55%,5.67,51%,2.4,50%,100%,0.5
Kleydson,Rodrigues,KR,"5' 5""",135 lbs.,"67.0""",Orthodox,8,3,0,0,5.48,62%,2.75,48%,0.85,25%,63%,0.8
Paul,Rodriguez,,"5' 7""",155 lbs.,--,Orthodox,10,9,2,0,0.84,100%,1.68,68%,0,0%,50%,0
Ricco,Rodriguez,Suave,"6' 4""",265 lbs.,--,Orthodox,53,25,0,0,1.85,51%,1.15,61%,2.3,39%,40%,1
Manuel,Rodriguez,Chalate,"5' 9""",170 lbs.,--,Orthodox,11,5,0,0,0.81,33%,3.23,38%,9.09,75%,0%,0
Yair,Rodriguez,El Pantera,"5' 11""",145 lbs.,"71.0""",Orthodox,16,4,0,0,4.63,46%,4.07,51%,0.73,28%,59%,0.7
Mike,Rodriguez,Slo Mike,"6' 4""",205 lbs.,"82.0""",Southpaw,11,7,0,0,4.35,53%,4.24,41%,0,0%,37%,0
Marina,Rodriguez,,"5' 6""",115 lbs.,"65.0""",Orthodox,17,3,2,0,4.77,48%,2.89,56%,0.25,42%,66%,0.2
Daniel,Rodriguez,D-Rod,"6' 1""",170 lbs.,"74.0""",Southpaw,17,4,0,0,7.3,50%,5.28,56%,0.62,50%,63%,0.1
Ray,Rodriguez,The Judge,"5' 7""",135 lbs.,"70.0""",Orthodox,16,8,0,0,0.9,27%,3.89,40%,1.42,50%,44%,0
Luis,Rodriguez,Lazy Boy,"5' 6""",125 lbs.,"65.0""",Orthodox,11,2,0,0,1.27,37%,3.2,54%,2,50%,100%,2
Drako,Rodriguez,,"5' 8""",135 lbs.,"69.0""",Orthodox,7,3,0,0,3.37,36%,4.4,58%,2.93,66%,75%,0.7
Victor,Rodriguez,Vicious,"5' 5""",125 lbs.,"67.0""",Switch,7,4,0,0,1.59,37%,6.11,50%,0,0%,0%,0
Piera,Rodriguez,La Fiera,"5' 3""",115 lbs.,"63.0""",Orthodox,9,1,0,0,3.46,46%,2.98,57%,3.31,41%,66%,0
Christian,Rodriguez,,"5' 7""",135 lbs.,"71.0""",Orthodox,10,1,0,0,3.51,46%,2.46,58%,1.4,54%,70%,1.4
Pete,Rodriguez,Dead Game,"5' 9""",155 lbs.,"71.0""",Switch,5,1,0,0,10.37,46%,11.69,44%,0,0%,100%,0
Nick,Roehrick,,"6' 2""",205 lbs.,--,Orthodox,7,1,0,0,2.31,17%,6.92,44%,0,0%,0%,0
Marcos,Rogerio de Lima,Pezao,"6' 1""",253 lbs.,"75.0""",Orthodox,21,10,1,0,3.61,56%,2.96,51%,1.34,47%,59%,0.5
Brett,Rogers,The Grim,"6' 5""",265 lbs.,"81.0""",Orthodox,17,10,0,0,3.17,44%,3.2,46%,0,0%,58%,0
Brian,Rogers,The Professional Predator,"5' 11""",185 lbs.,--,,14,9,0,0,4.79,38%,5.76,58%,1.22,50%,100%,0.6
Pete,Rogers Jr.,The Heat,"6' 0""",145 lbs.,--,,2,4,0,0,0.66,15%,1.71,65%,0,0%,0%,0
Max,Rohskopf,Rated R,"6' 1""",155 lbs.,"71.0""",Orthodox,5,1,0,0,1.7,31%,5.8,42%,3,33%,0%,1.5
Marcelo,Rojo,Pitbull,"5' 8""",145 lbs.,"71.0""",Orthodox,16,10,0,0,4.92,39%,6.42,55%,0.46,50%,66%,0
Shane,Roller,,"5' 10""",155 lbs.,"72.0""",Orthodox,11,7,0,0,2.04,34%,2.65,60%,2.46,33%,42%,1.9
Jared,Rollins,J-Roc,"5' 9""",170 lbs.,--,Orthodox,8,4,0,0,3.33,57%,2.41,39%,2.5,50%,50%,1.2
Tim,Roman,,"6' 1""",170 lbs.,--,,3,4,0,0,0.6,40%,2.4,40%,1,100%,16%,0
Alexandr,Romanov,King Kong,"6' 2""",262 lbs.,"75.0""",Southpaw,17,2,0,0,4.06,52%,2.2,50%,4.32,54%,20%,0.9
Ricardo,Romero,,"6' 0""",205 lbs.,"76.0""",Orthodox,11,3,0,0,2.17,55%,4.77,46%,1.63,10%,100%,3.3
Yoel,Romero,Soldier of God,"6' 0""",185 lbs.,"73.0""",Southpaw,13,5,0,0,3.44,49%,3.05,60%,1.57,30%,78%,0
Anthony,Romero,The Genius,"5' 11""",155 lbs.,"70.0""",Orthodox,8,0,0,0,5.87,52%,4,65%,2,22%,100%,0
Kaleio,Romero,KO,"5' 10""",145 lbs.,"69.0""",Switch,6,2,0,0,2.6,48%,3.27,50%,1,8%,0%,1
Mara,Romero Borella,,"5' 6""",125 lbs.,"69.0""",Orthodox,12,9,0,0,2.54,37%,2.48,71%,1.83,44%,66%,0.2
Cortavious,Romious,Are You Not Entertained?,"5' 4""",135 lbs.,"68.0""",Southpaw,7,2,0,0,14.48,31%,20.69,41%,0,0%,0%,0
Juancamilo,Ronderos,100,"5' 3""",125 lbs.,"64.0""",Southpaw,4,2,0,0,2.18,30%,2.18,63%,2.72,33%,0%,0
,Rongzhu,,"5' 9""",155 lbs.,"72.0""",Orthodox,24,5,0,0,5.6,50%,6.36,45%,2.56,62%,87%,0
Jesse,Ronson,The Body Snatcher,"5' 10""",155 lbs.,"70.0""",Southpaw,21,12,0,0,3.54,47%,3.39,57%,0.46,28%,57%,0.5
George,Roop,,"6' 1""",135 lbs.,"72.0""",Orthodox,15,13,1,0,3.43,34%,2.47,60%,1.05,57%,59%,0.1
Joao,Roque,,"5' 6""",155 lbs.,--,Orthodox,7,2,4,0,0,0%,0,0%,0,0%,0%,0
Aaron,Rosa,,"6' 4""",205 lbs.,"77.0""",Orthodox,18,6,0,0,4.03,47%,4.41,45%,0.36,33%,85%,0.4
Charles,Rosa,Boston Strong,"5' 9""",145 lbs.,"69.0""",Switch,14,8,0,0,3.08,36%,3.86,47%,1.67,35%,38%,1
Karol,Rosa,,"5' 5""",135 lbs.,"67.0""",Orthodox,17,5,0,0,5.43,55%,4.17,48%,1.38,47%,68%,0
Jacob,Rosales,The Lil Badger,"5' 11""",155 lbs.,"74.0""",Orthodox,13,7,0,0,7.19,46%,10.66,44%,1.12,18%,50%,0.6
Raul,Rosas Jr.,El Nino Problema,"5' 9""",135 lbs.,"67.0""",Switch,8,1,0,0,1.28,44%,1.52,46%,3.57,33%,0%,1.8
