First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Emily,Ducote,Gordinha,"5' 2""",115 lbs.,"63.0""",Orthodox,13,8,0,0,6.93,48%,7.98,56%,0.25,14%,92%,0
Viktoriia,Dudakova,,"5' 5""",115 lbs.,"67.0""",Orthodox,8,0,0,0,3.14,52%,2.45,50%,2.45,41%,50%,0
Milana,Dudieva,,"5' 3""",135 lbs.,--,Orthodox,11,6,0,0,0.87,31%,3.43,58%,2.34,45%,0%,0
Adin,Duenas,,"5' 6""",145 lbs.,--,,6,1,0,0,0,0%,0,0%,0,0%,0%,0
Todd,Duffee,,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0,0,5.93,37%,2.87,56%,0.72,25%,90%,0
Joe,Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,0,2.68,34%,3.78,54%,0.96,66%,64%,0.7
Alexis,Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0,0,1.33,27%,3.33,60%,1.5,50%,50%,0
Jessamyn,Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0,0,4.83,53%,4.43,57%,1.27,36%,50%,1.9
Isaac,Dulgarian,The Midwest Choppa,"5' 7""",145 lbs.,"71.0""",Orthodox,6,0,0,0,7.29,66%,0.42,71%,3.13,100%,0%,0
Kelly,Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0,0,0,0%,0.67,75%,0,0%,66%,0
Sedriques,Dumas,The Reaper,"6' 2""",185 lbs.,"79.0""",Orthodox,9,1,0,0,1.88,49%,2.01,56%,0.77,50%,40%,0.4
Norma,Dumont,The Immortal,"5' 7""",145 lbs.,"67.0""",Orthodox,10,2,0,0,3.41,49%,1.99,66%,1.39,64%,72%,0
Chris,Duncan,The Problem,"5' 10""",155 lbs.,"71.0""",Orthodox,11,1,0,0,5.08,46%,3.74,49%,3.63,39%,100%,0
Christian Leroy,Duncan,CLD,"6' 2""",185 lbs.,"79.0""",Switch,8,1,0,0,4.03,50%,5.51,42%,0,0%,50%,0
Evan,Dunham,,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1,0,5.33,39%,3.54,61%,1.82,33%,79%,1
Alex,Dunworth,,"5' 8""",155 lbs.,--,,2,2,0,0,1.94,31%,8.71,35%,0,0%,50%,0
Tom,Duquesnoy,Fire Kid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0,0,3.83,45%,5.3,62%,0.42,25%,46%,0
Albert,Duraev,,"5' 11""",185 lbs.,"75.0""",Orthodox,16,5,0,0,2.99,40%,3.01,59%,1.97,29%,66%,0.6
