First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Josh,Samman,Anqa,"6' 3""",185 lbs.,"79.0""",Orthodox,13,4,0,0,2.08,52%,2.47,34%,1.09,33%,33%,0.4,17,MiddleWeight,3239
Johnny,Sampaio,,"5' 8""",170 lbs.,--,Orthodox,3,1,0,0,1.32,40%,2.64,50%,9.89,50%,0%,9.9,4,WelterWeight,3240
Josh,Sampo,The Gremlin,"5' 4""",125 lbs.,"64.0""",Orthodox,11,5,0,0,1.99,36%,2.96,55%,1.06,33%,40%,2.1,16,FlyWeight,3241
Josh,San Diego,JSD,"5' 10""",135 lbs.,--,,8,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,BantamWeight,3242
Diego,Sanchez,Nightmare,"5' 10""",170 lbs.,"72.0""",Southpaw,31,13,0,0,2.69,37%,3.02,56%,1.51,24%,46%,0.8,44,WelterWeight,3243
Eddie,Sanchez,The Manic Hispanic,"6' 2""",230 lbs.,"74.0""",Orthodox,15,8,0,0,3.45,43%,3.30,43%,1.13,26%,42%,0.0,23,HeavyWeight,3244
Julian,Sanchez,,"6' 3""",300 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,3245
Bobby,Sanchez,The Kid,"5' 7""",155 lbs.,--,Orthodox,10,35,0,0,0.00,0%,0.00,100%,0.00,0%,100%,0.0,45,LightWeight,3246
Donald,Sanchez,,"5' 10""",145 lbs.,--,,31,17,0,0,0.58,50%,1.16,55%,0.00,0%,50%,0.0,48,FeatherWeight,3247
Joby,Sanchez,,"5' 6""",135 lbs.,"68.0""",Orthodox,11,4,0,0,3.22,36%,2.82,63%,0.95,71%,51%,0.4,15,BantamWeight,3248
Emmanuel,Sanchez,El Matador,"5' 9""",145 lbs.,"71.0""",,15,3,0,0,4.45,35%,4.17,55%,0.25,6%,16%,0.5,18,FeatherWeight,3249
Erick,Sanchez,,"5' 10""",145 lbs.,--,,8,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,FeatherWeight,3250
